season,team,played,won,draw,lost,goals_for,goals_against,goal_difference,points,home_games_played,away_games_played,home_goals_for,home_goals_against,away_goals_for,away_goals_against,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,season_form
1995-1996,Newcastle,38,24,6,8,66,37,29,78,19,19,38,9,28,28,17,1,1,7,5,7,"D,D,W,W,W,L,W,L,L,W,L,D,L,W,W,W,W,W,L,W,W,L,D,W,D,W,W,D,W,W,W,W,W,L,W,W,W,W"
1995-1996,Liverpool,38,20,11,7,70,34,36,71,19,19,46,13,24,21,14,4,1,6,7,6,"D,D,W,D,W,L,W,L,W,D,W,W,W,D,W,W,D,W,D,W,W,W,D,L,D,L,L,W,W,D,D,W,W,L,W,W,L,W"
1995-1996,Arsenal,38,17,12,9,49,32,17,63,19,19,30,16,19,16,10,7,2,7,5,7,"W,D,D,D,L,W,W,L,W,W,D,W,W,D,L,W,L,L,W,L,D,D,D,D,W,L,W,L,W,W,L,W,W,W,D,D,W,D"
1995-1996,Aston Villa,38,18,9,11,52,35,17,63,19,19,32,15,20,20,11,5,3,7,4,8,"L,L,D,L,W,W,D,L,W,W,L,W,D,W,W,L,W,D,W,L,W,D,D,L,W,D,W,W,L,L,W,D,W,D,W,L,W,W"
1995-1996,Blackburn,38,18,7,13,61,47,14,61,19,19,44,19,17,28,14,2,3,4,5,10,"W,D,W,W,W,L,L,W,W,D,L,L,L,W,W,W,D,W,W,D,W,L,W,D,W,L,L,W,D,W,L,W,L,D,L,L,L,W"
1995-1996,Everton,38,17,10,11,64,44,20,61,19,19,35,19,29,25,10,5,4,7,5,7,"W,W,D,L,W,W,L,D,D,W,W,L,W,D,W,D,W,W,W,L,L,W,D,D,W,W,W,L,D,D,L,L,L,L,W,W,L,D"
1995-1996,Spurs,38,16,13,9,50,38,12,61,19,19,26,19,24,19,9,5,5,7,8,4,"D,W,D,D,D,L,W,L,W,L,W,W,L,D,L,W,W,L,D,D,W,W,D,D,W,W,W,D,D,L,W,W,W,W,D,L,L,D"
1995-1996,Nott'm Forest,38,15,13,10,50,54,-4,58,19,19,29,17,21,37,11,6,2,4,7,8,"W,D,L,D,L,W,W,L,W,D,W,L,L,L,W,L,W,L,W,W,L,D,D,D,D,L,W,D,W,W,W,D,W,D,D,D,D,W"
1995-1996,West Ham,38,14,9,15,43,52,-9,51,19,19,25,21,18,31,9,5,5,5,4,10,"D,L,D,W,L,D,W,L,W,D,L,W,W,W,W,W,L,L,L,L,W,L,L,W,D,W,L,W,D,W,D,W,L,L,D,D,L,L"
1995-1996,Chelsea,38,12,14,12,46,44,2,50,19,19,30,22,16,22,7,7,5,5,7,7,"L,D,D,W,L,L,D,L,D,D,W,L,L,W,W,D,W,D,L,W,D,W,D,D,W,L,D,L,L,W,W,L,W,W,D,L,D,D"
1995-1996,Leeds,38,12,7,19,40,57,-17,43,19,19,21,21,19,36,8,3,8,4,4,11,"D,L,L,L,L,L,L,W,L,D,L,W,L,L,L,L,W,D,L,W,W,L,D,L,L,W,D,W,D,L,W,W,L,L,D,W,W,W"
1995-1996,Middlesbrough,38,11,10,17,35,50,-15,43,19,19,27,27,8,23,8,3,8,3,7,9,"L,L,L,D,W,W,D,D,L,L,D,L,L,L,L,L,L,L,L,W,L,W,D,W,L,D,D,L,W,W,W,W,W,D,D,L,W,D"
1995-1996,Wimbledon,38,10,11,17,55,70,-15,41,19,19,27,33,28,37,5,6,8,5,5,9,"D,L,L,W,W,D,W,W,L,D,D,D,L,L,W,L,L,W,W,D,L,D,D,D,L,D,L,L,L,L,L,L,L,W,D,L,W,W"
1995-1996,Sheffield Wed,38,10,10,18,48,61,-13,40,19,19,30,31,18,30,7,5,7,3,5,11,"D,L,D,L,W,L,L,W,W,L,L,L,L,W,L,L,D,W,L,D,W,D,W,D,L,D,D,L,W,L,L,D,L,W,D,L,W,L"
1995-1996,Coventry,38,8,14,16,42,60,-18,38,19,19,21,23,21,37,6,7,6,2,7,10,"D,W,D,W,L,W,L,L,L,D,D,D,W,D,L,D,L,D,W,W,L,W,L,D,L,D,L,L,L,D,L,L,L,D,D,D,W,L"
1995-1996,Man City,38,9,11,18,33,58,-25,38,19,19,21,19,12,39,7,7,5,2,4,13,"D,W,W,L,L,D,L,W,D,L,D,D,L,W,D,D,L,W,L,L,D,L,W,W,W,D,W,L,D,L,L,L,L,L,L,L,L,D"
1995-1996,Southampton,38,9,11,18,34,52,-18,38,19,19,21,18,13,34,7,7,5,2,4,13,"D,W,L,W,L,W,L,L,W,L,L,L,L,D,D,W,L,D,D,D,L,D,D,W,L,L,W,W,L,L,D,L,L,D,W,D,L,L"
1995-1996,QPR,38,9,6,23,38,57,-19,33,19,19,25,26,13,31,6,5,8,3,1,15,"L,W,L,W,L,W,D,D,L,L,D,W,L,L,L,L,L,L,L,W,W,L,D,L,L,D,L,D,L,L,W,L,W,L,L,W,L,L"
1995-1996,Bolton,38,8,5,25,39,71,-32,29,19,19,16,31,23,40,5,4,10,3,1,15,"L,L,L,W,L,D,W,L,W,W,L,W,L,L,L,W,L,L,L,D,L,L,D,L,L,L,L,W,L,D,L,L,L,D,L,W,L,L"
1994-1995,Blackburn,42,27,8,7,80,39,41,89,21,21,54,21,26,18,17,2,2,10,6,5,"L,W,L,W,L,D,W,W,W,D,W,W,D,W,W,L,D,W,L,W,W,W,W,D,W,W,W,W,W,W,W,L,W,D,L,W,W,W,D,W,W,D"
1994-1995,Man Utd,42,26,10,6,77,28,49,88,21,21,42,4,35,24,16,4,1,10,6,5,"D,W,W,W,D,W,D,W,L,D,W,W,L,W,W,W,D,W,D,W,D,D,W,L,W,W,D,W,W,W,W,W,W,L,W,L,W,L,W,W,D,W"
