season,team,played,won,draw,lost,goals_for,goals_against,goal_difference,points,home_games_played,away_games_played,home_goals_for,home_goals_against,away_goals_for,away_goals_against,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,season_form
1992-1993,Spurs,42,16,11,15,60,66,-6,59,21,21,40,25,20,41,11,5,5,5,6,10,"W,L,L,D,L,W,L,W,W,D,D,L,W,W,W,W,W,L,L,L,W,D,L,W,L,W,D,W,W,D,D,L,L,D,L,W,W,D,L,D,L,D"
1992-1993,Man City,42,15,12,15,56,51,5,57,21,21,30,25,26,26,7,8,6,8,4,9,"L,D,W,D,L,D,D,W,L,D,L,W,W,L,L,D,W,W,L,W,D,W,D,L,L,L,W,W,W,W,D,D,L,L,L,W,W,D,W,L,L,D"
1992-1993,Arsenal,42,15,11,16,40,38,2,56,21,21,25,20,15,18,8,6,7,7,5,9,"L,W,L,D,D,D,L,W,L,D,W,W,D,L,D,W,L,L,W,D,L,D,D,L,L,L,L,W,W,W,W,W,W,D,L,L,D,W,W,W,L,L"
1992-1993,Chelsea,42,14,14,14,51,54,-3,56,21,21,29,22,22,32,9,7,5,5,7,9,"L,W,L,W,L,D,W,D,D,D,W,W,L,L,D,L,L,D,L,L,D,D,D,D,W,W,W,W,L,W,W,L,D,W,L,L,W,W,D,D,L,D"
1992-1993,Wimbledon,42,14,12,16,56,55,1,54,21,21,32,23,24,32,9,4,8,5,8,8,"L,D,D,W,L,W,L,D,W,W,W,L,L,W,W,W,W,L,W,D,D,L,D,W,L,D,L,L,W,D,D,L,W,D,L,W,L,D,D,L,L,L"
1992-1993,Everton,42,15,8,19,53,55,-2,53,21,21,26,27,27,28,7,6,8,8,2,11,"W,L,D,D,L,W,W,L,W,L,W,W,D,L,L,L,L,W,W,W,L,D,W,L,W,L,L,W,L,L,D,L,L,L,W,L,L,D,W,D,W,D"
1992-1993,Coventry,42,13,13,16,52,57,-5,52,21,21,29,28,23,29,7,4,10,6,9,6,"D,L,L,L,D,W,L,D,L,L,L,W,D,L,W,L,W,W,D,L,L,W,W,D,D,D,L,L,D,L,D,D,D,D,W,W,W,L,L,W,W,W"
1992-1993,Ipswich,42,12,16,14,50,55,-5,52,21,21,29,22,21,33,8,9,4,4,7,10,"W,L,W,L,L,D,L,L,D,L,L,L,L,D,D,L,W,W,L,L,W,D,W,W,D,W,D,D,W,D,L,W,D,L,W,D,D,D,D,D,W,D"
1992-1993,Sheffield Utd,42,14,10,18,54,53,1,52,21,21,33,19,21,34,10,6,5,4,4,13,"W,W,W,D,L,D,D,W,W,L,L,W,L,W,L,W,L,L,L,W,D,L,L,W,L,D,L,D,W,D,L,W,D,D,W,L,L,L,D,L,L,W"
1992-1993,Leeds,42,12,15,15,57,62,-5,51,21,21,40,17,17,45,12,8,1,0,7,14,"D,D,D,L,D,L,W,L,D,D,W,W,D,L,W,D,L,W,L,W,D,L,L,W,L,L,W,L,D,L,W,L,W,D,D,L,D,D,W,L,D,W"
1992-1993,Southampton,42,13,11,18,54,61,-7,50,21,21,30,21,24,40,10,6,5,3,5,13,"L,L,D,L,W,L,L,L,W,D,W,W,L,W,W,L,W,L,W,L,L,D,L,D,W,W,D,D,W,L,D,L,W,D,L,L,D,W,L,D,L,D"
1992-1993,Crystal Palace,42,11,16,15,48,61,-13,49,21,21,27,25,21,36,6,9,6,5,7,9,"L,D,W,L,D,W,L,D,D,W,D,D,D,L,W,W,L,L,L,L,W,W,W,W,W,L,D,L,L,D,D,D,L,W,D,L,L,L,D,D,D,D"
1992-1993,Oldham,42,13,10,19,63,74,-11,49,21,21,43,30,20,44,10,6,5,3,4,14,"W,W,W,L,D,L,D,W,W,D,L,W,D,L,L,L,W,L,L,L,L,W,W,L,L,W,L,L,L,D,L,W,L,W,D,L,D,D,L,W,D,D"
1992-1993,Middlesbrough,42,11,11,20,54,75,-21,44,21,21,33,27,21,48,8,5,8,3,6,12,"D,W,W,L,L,W,L,L,D,L,L,W,L,L,L,L,L,W,L,L,L,D,D,D,W,L,W,L,D,D,L,D,D,L,D,W,W,D,L,W,W,L"
1992-1993,Nott'm Forest,42,10,10,22,41,62,-21,40,21,21,17,25,24,37,6,4,11,4,6,11,"L,L,D,L,W,L,L,L,W,D,L,L,D,L,W,W,D,W,L,W,W,L,D,L,W,L,D,L,L,D,W,L,D,D,D,L,L,L,L,L,L,W"
